,Braak
hsa-miR-455-5p,0.10416469132069311
hsa-miR-431-5p,0.10394126142258664
hsa-miR-487a-3p,0.10378880921839595
hsa-miR-376b-3p,0.10368111972366065
hsa-let-7f-2-3p,0.10134834141729486
hsa-miR-93-3p,0.10064558070884436
hsa-miR-448,0.09762163856604877
hsa-miR-487b-3p,-0.09733282304703123
hsa-let-7f-1-3p,0.09691568274852891
hsa-miR-181c-5p,0.09651955445805241
hsa-miR-330-3p,-0.09610688971829161
hsa-miR-378a-3p,-0.0951611198561931
hsa-miR-133a-3p,-0.09488688952706441
hsa-miR-21-3p,-0.09261534058017584
hsa-miR-320b,0.09190115687876771
hsa-miR-625-3p,0.09004434951430863
hsa-miR-30c-1-3p,0.08958603619054142
hsa-miR-376c-5p,0.0852549192684667
hsa-miR-501-3p,-0.08484424044348751
hsa-miR-495-3p,0.08441503605827923
hsa-miR-1251-5p,-0.08267951174601951
hsa-miR-551b-3p,-0.08241481209962948
hsa-miR-486-5p,-0.0819090109992495
hsa-let-7e-5p,-0.08057754299505224
hsa-miR-125a-5p,-0.07999205713731594
hsa-miR-508-3p,-0.07964784304781364
hsa-miR-23b-3p,0.07957280513842295
hsa-miR-425-5p,0.07957078286561452
hsa-miR-195-3p,-0.07562450189682467
hsa-miR-758-5p,-0.07498597930139092
hsa-miR-204-5p,0.0737171159493251
hsa-miR-592,0.07367286681092297
hsa-miR-3613-3p,0.0731626065159886
hsa-miR-501-5p,-0.07219984595878227
hsa-miR-130b-5p,-0.07193022047052104
hsa-miR-625-5p,0.07005082447293452
hsa-miR-370-5p,-0.06794481101183253
hsa-miR-98-3p,0.06794342936052279
hsa-miR-34a-5p,0.06609710574455945
hsa-miR-664b-3p,0.06431528508183984
hsa-miR-33a-5p,0.06327066859413252
hsa-miR-93-5p,-0.05724199109768409
hsa-miR-410-3p,-0.056502181692213556
hsa-miR-329-3p,-0.05526809805708382
hsa-let-7i-3p,-0.0551242222508653
hsa-miR-3615,0.05091546293220357
hsa-miR-6516-5p,-0.049611970457825005
hsa-miR-122-5p,0.04834663086677073
hsa-miR-4662a-5p,0.048321604475556036
hsa-miR-191-3p,0.04810498909053304
hsa-miR-376a-5p,-0.04697860009100933
hsa-miR-629-5p,0.046460198871121974
hsa-miR-1283,0.04487786465431133
hsa-miR-125b-1-3p,0.044423248408129876
hsa-miR-889-5p,0.0435539244212173
hsa-miR-1287-5p,0.04286926093213825
hsa-miR-187-3p,0.04178289465637789
hsa-miR-92b-3p,-0.040203268166205765
hsa-miR-135b-5p,0.03862441916914813
hsa-miR-493-5p,0.03838623061302668
hsa-miR-664a-5p,0.03609110461222319
hsa-miR-199b-5p,0.035858448056659824
hsa-miR-199a-5p,0.03577856363910932
hsa-miR-29b-1-5p,0.03534940933545467
hsa-miR-6500-3p,-0.0349778351572481
hsa-miR-101-5p,0.034693271118099486
hsa-miR-543,-0.03397068695434211
hsa-miR-221-3p,-0.03351239745887231
hsa-miR-382-5p,-0.03320383498190529
hsa-miR-7-2-3p,-0.03207059110582476
hsa-miR-30d-5p,0.031126403422437644
hsa-miR-96-5p,-0.0290565066401396
hsa-let-7i-5p,-0.02859242270383026
hsa-miR-522-3p,-0.028199514105136828
hsa-miR-376b-5p,0.02760977910474206
hsa-miR-26b-3p,-0.027263544064216494
hsa-miR-135a-2-3p,0.026958624745265145
hsa-miR-502-3p,-0.026817927751504052
hsa-miR-361-3p,0.023948284706439043
hsa-miR-1197,0.022592814852908184
hsa-miR-329-5p,-0.021369104452923924
hsa-miR-31-5p,0.02121815085952869
hsa-miR-1302,-0.01922608529862703
hsa-miR-224-5p,0.019031641747724554
hsa-miR-664a-3p,-0.016717525627600933
hsa-miR-375-3p,0.01660407554471693
hsa-miR-450a-5p,-0.01612922781031032
hsa-miR-222-3p,-0.015236083898115246
hsa-miR-99b-5p,0.015172786688197215
hsa-miR-496,-0.013754158882179087
hsa-miR-22-3p,-0.012113339964219346
hsa-miR-758-3p,-0.011225035306590084
hsa-miR-29a-5p,0.010021214618589775
hsa-miR-1291,0.009839074734833394
hsa-miR-548o-3p,0.009256972730843286
hsa-miR-1468-5p,-0.006268253095882277
hsa-miR-1298-5p,0.005907763494155525
hsa-miR-2277-5p,0.005520808809095739
hsa-miR-412-5p,0.004951888086451611
hsa-let-7c-5p,-0.0018333908224591054
